Country,ISO3c,Category,Origin,Destination,Organism,System,Product,Pressure,Value
Afghanistan,AFG,farm,land,land,bana,crop,produce,disturbance,0.197483107
Afghanistan,AFG,farm,land,land,bana,crop,produce,ghg,0.512680233
Afghanistan,AFG,farm,land,land,bana,crop,produce,nutrient,0.017064534
Afghanistan,AFG,farm,land,land,bana,crop,produce,water,407308.9063
Afghanistan,AFG,farm,land,land,barl,crop,produce,disturbance,1984.37267
Afghanistan,AFG,farm,land,land,barl,crop,produce,ghg,35581.88989
Afghanistan,AFG,farm,land,land,barl,crop,produce,nutrient,475.9156592
Afghanistan,AFG,farm,land,land,barl,crop,produce,water,176642287.7
Afghanistan,AFG,farm,land,land,buffaloes,grassland,milk,disturbance,0
Afghanistan,AFG,farm,land,land,buffaloes,grassland,milk,ghg,44.10797766
Afghanistan,AFG,farm,land,land,buffaloes,grassland,milk,nutrient,0
Afghanistan,AFG,farm,land,land,buffaloes,grassland,milk,water,0
Afghanistan,AFG,farm,land,land,buffaloes,mixed,milk,disturbance,0
Afghanistan,AFG,farm,land,land,buffaloes,mixed,milk,ghg,166.0259104
Afghanistan,AFG,farm,land,land,buffaloes,mixed,milk,nutrient,0
Afghanistan,AFG,farm,land,land,buffaloes,mixed,milk,water,0
Afghanistan,AFG,farm,land,land,cass,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,cass,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,cass,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,cass,crop,produce,water,0
Afghanistan,AFG,farm,land,land,chickens,backyard,eggs&meat,disturbance,4.24139812
Afghanistan,AFG,farm,land,land,chickens,backyard,eggs&meat,ghg,64087.70814
Afghanistan,AFG,farm,land,land,chickens,backyard,eggs&meat,nutrient,3147.380442
Afghanistan,AFG,farm,land,land,chickens,backyard,eggs&meat,water,1122187.648
Afghanistan,AFG,farm,land,land,chickens,industrial,eggs,disturbance,10.30955601
Afghanistan,AFG,farm,land,land,chickens,industrial,eggs,ghg,1987.827298
Afghanistan,AFG,farm,land,land,chickens,industrial,eggs,nutrient,150.416752
Afghanistan,AFG,farm,land,land,chickens,industrial,eggs,water,36553.05091
Afghanistan,AFG,farm,land,land,chickens,industrial,meat,disturbance,0.01766887
Afghanistan,AFG,farm,land,land,chickens,industrial,meat,ghg,933.8472417
Afghanistan,AFG,farm,land,land,chickens,industrial,meat,nutrient,99.67795963
Afghanistan,AFG,farm,land,land,chickens,industrial,meat,water,9857.442227
Afghanistan,AFG,farm,land,land,cnut,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,cnut,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,cnut,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,cnut,crop,produce,water,0
Afghanistan,AFG,farm,land,land,coco,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,coco,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,coco,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,coco,crop,produce,water,0
Afghanistan,AFG,farm,land,land,cows,feedlot,meat,disturbance,0
Afghanistan,AFG,farm,land,land,cows,feedlot,meat,ghg,0
Afghanistan,AFG,farm,land,land,cows,feedlot,meat,nutrient,0
Afghanistan,AFG,farm,land,land,cows,feedlot,meat,water,0
Afghanistan,AFG,farm,land,land,cows,grassland,meat,disturbance,0
Afghanistan,AFG,farm,land,land,cows,grassland,meat,ghg,710800.3232
Afghanistan,AFG,farm,land,land,cows,grassland,meat,nutrient,4290.754966
Afghanistan,AFG,farm,land,land,cows,grassland,meat,water,6535256.916
