Country,ISO3c,Product,Tonnes,Cumulative pressure,Pressure per tonne,Million kcal,Tonnes of protein,Pressure per tonne of protein,Pressure per million kcal
Afghanistan,AFG,Bana,495,2.99122E-07,0.000604288,304.0489615,4.037220183,0.074091175,0.000983797
Afghanistan,AFG,Barl,89223.4995,0.000275676,0.003089724,296435.2163,9640.627141,0.028595237,0.000929971
Afghanistan,AFG,Maiz,174405.6559,0.000615106,0.003526872,229716.4802,7234.343356,0.085025881,0.002677676
Afghanistan,AFG,Ocer,20.60000074,3.48594E-08,0.001692205,70.96437886,2.421421942,0.014396262,0.000491224
Afghanistan,AFG,Pota,547134.0653,8.06093E-05,0.00014733,387718.7361,9152.005524,0.008807832,0.000207907
Afghanistan,AFG,Rice,333931.4534,0.000728936,0.002182891,951038.419,19712.65255,0.036978071,0.000766463
Afghanistan,AFG,Spis,18847.99329,0.000136269,0.00722991,64503.06508,2038.579342,0.066845224,0.002112602
Afghanistan,AFG,Sugb,2474.164646,2.17399E-06,0.000878676,1827.623532,32.29259887,0.067321613,0.001189517
Afghanistan,AFG,Sugc,37485.99454,5.78026E-06,0.000154198,11822.98422,64.3541397,0.08981951,0.0004889
Afghanistan,AFG,Tnut,37805.99624,0.000245669,0.006498143,99138.20567,2503.272427,0.098139046,0.002478043
Afghanistan,AFG,Vege,609325.5546,0.000362644,0.000595156,176640.1185,8100.325752,0.044769009,0.002053008
Afghanistan,AFG,Whea,4092846.152,0.003126078,0.000763791,13401334.41,480641.9725,0.006503964,0.000233266
Afghanistan,AFG,Xfru,2563057.421,0.00174567,0.000681089,1054501.162,12715.3558,0.137288354,0.001655447
Afghanistan,AFG,Xmil,13021.64729,4.51215E-06,0.000346511,43886.34827,1157.577255,0.003897923,0.000102814
Afghanistan,AFG,Xoil,92444.44837,0.000287912,0.00311443,396512.4747,14242.20657,0.020215388,0.00072611
Afghanistan,AFG,Xpul,39602.88829,0.000138346,0.003493334,135350.8128,8781.115163,0.015754959,0.00102213
Angola,AGO,Bana,4413958.763,0.000661218,0.000149802,2711231.471,36000.2493,0.018367035,0.000243881
Angola,AGO,Cass,8271136.202,0.000570584,6.8985E-05,8618421.226,64405.00049,0.00885932,6.62052E-05
Angola,AGO,Coco,484.9333432,1.4696E-06,0.003030528,2097.057633,26.90124974,0.054629591,0.000700793
Angola,AGO,Maiz,2750496.033,0.000927618,0.000337255,3622785.42,114090.5242,0.00813054,0.000256051
Angola,AGO,Oilp,280448.1919,1.39616E-05,4.97833E-05,1202897.543,43206.49348,0.000323137,1.16067E-05
Angola,AGO,Orts,501.9999876,5.41592E-08,0.000107887,445.6220123,7.627921696,0.007100128,0.000121536
Angola,AGO,Plnt,54.5,2.01738E-08,0.000370161,41.98297227,0.435256944,0.046349065,0.000480522
Angola,AGO,Pota,802756.1244,8.05054E-05,0.000100286,568861.6551,13427.83963,0.005995411,0.00014152
Angola,AGO,Rice,65380.52197,8.28386E-05,0.001267023,186204.0476,3859.545125,0.021463307,0.000444881
Angola,AGO,Sorg,79829.86732,0.000104536,0.001309482,275472.7129,8587.437493,0.012173101,0.000379478
Angola,AGO,Soyb,15075.83331,9.02434E-06,0.000598597,53127.75695,5497.1562,0.001641638,0.000169861
Angola,AGO,Sugc,567045.8271,4.40685E-05,7.77159E-05,178844.7646,973.4768097,0.045269154,0.000246406
Angola,AGO,Swpo,1319752.433,0.000160479,0.000121597,1232255.285,13239.99153,0.012120742,0.000130232
Angola,AGO,Tnut,2343.993159,6.31939E-06,0.002695993,6146.62485,155.2043069,0.040716577,0.001028107
Angola,AGO,Vege,813913.1963,0.000229056,0.000281426,235948.9477,10820.09769,0.02116953,0.000970788
Angola,AGO,Whea,2824.031638,3.00976E-06,0.001065767,9246.815284,331.6391788,0.009075404,0.000325491
Angola,AGO,Xfru,942841.8627,0.000215814,0.000228898,387906.9706,4677.448756,0.046139349,0.000556356
Angola,AGO,Xmil,74637.50211,9.73861E-05,0.001304788,251547.8526,6635.003461,0.014677624,0.000387147
Angola,AGO,Xoil,201328.5612,0.000194826,0.000967704,863537.9131,31017.14604,0.006281249,0.000225614
Angola,AGO,Xpul,320769.3737,0.000378025,0.001178494,1096293.663,71123.92384,0.005315015,0.000344821
Angola,AGO,Yams,49.70000029,9.44285E-09,0.000189997,48.86100701,0.752558626,0.012547665,0.000193259
Åland,ALA,Barl,2604.199999,8.34348E-07,0.000320385,8652.166686,281.3846277,0.00296515,9.64322E-05
Åland,ALA,Ocer,20859.79996,4.92196E-06,0.000235955,71859.35408,2451.959977,0.002007359,6.84944E-05
Åland,ALA,Pota,23574.49971,2.13001E-06,9.03523E-05,16705.7323,394.3347074,0.00540153,0.000127502
Åland,ALA,Sugb,7249.999943,2.90859E-07,4.01184E-05,5355.452201,94.62641877,0.003073757,5.43107E-05
Åland,ALA,Vege,4307.000099,3.60408E-07,8.36796E-05,1248.57558,57.25691883,0.006294577,0.000288655
Åland,ALA,Whea,5475.100006,3.09506E-06,0.000565297,17927.29151,642.9664759,0.004813711,0.000172645
Åland,ALA,Xfru,4312.69994,9.56325E-07,0.000221746,1774.344601,21.3953514,0.044697801,0.000538974
Åland,ALA,Xoil,410.7999976,3.61458E-07,0.000879889,1762.002224,63.28880236,0.005711252,0.000205141
Åland,ALA,Xpul,64.59999962,2.47399E-08,0.000382971,220.7834538,14.32370367,0.0017272,0.000112055
Albania,ALB,Barl,8458.987869,2.00549E-06,0.000237083,28104.05233,913.9962957,0.002194194,7.13593E-05
Albania,ALB,Maiz,347235.2759,0.000205485,0.000591773,457357.1022,14403.31277,0.014266479,0.000449287
Albania,ALB,Ocer,37660.15846,1.74428E-05,0.000463164,129734.4494,4426.753921,0.00394032,0.00013445
Albania,ALB,Pota,255155.6914,1.90658E-05,7.47222E-05,180812.4342,4268.033094,0.004467113,0.000105445
Albania,ALB,Soyb,533.399984,2.38401E-07,0.000446946,1879.719954,194.4955856,0.001225741,0.000126828
